year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes
2008,FL,4281897,4045801,81509,8409207,27
2008,GA,1844179,2048785,35630,3928594,15
2008,HI,325871,120566,7131,453568,4
2008,IA,828940,682379,18764,1530083,7
2008,ID,236827,403809,15597,656233,4
2008,IL,3419232,2030959,71337,5521528,21
2008,IN,1374039,1345648,29258,2748945,11
2008,KS,514765,699655,21452,1235872,6
2008,KY,751985,1048462,26061,1826508,8
2008,LA,769544,1147505,28272,1945321,9
2008,MA,1904098,1108854,68062,3081014,12
2008,MD,1629467,959862,42267,2631596,10
2008,ME-01,232145,144604,6877,383626,1
2008,ME-02,189778,150669,7090,347537,1
2008,ME-AL,421923,295273,13967,731163,2
2008,MI,2872579,2048639,80970,5002188,17
2008,MN,1573354,1275409,61606,2910369,10
2008,MO,1441911,1445814,40421,2928146,11
2008,MS,554662,724597,10606,1289865,6
2008,MT,232159,243882,16709,492750,3
2008,NATIONAL,69483584,59955121,1808559,131247264,533
2008,NC,2142651,2128474,39664,4310789,15
2008,ND,141403,168887,7448,317738,3
2008,NE-01,121411,148179,4303,273893,1
2008,NE-02,138809,135439,3561,277809,1
2008,NE-03,73099,169361,4282,246742,1
2008,NE-AL,333319,452979,12146,798444,2
2008,NH,384826,316534,6251,707611,4
2008,NJ,2215422,1613207,39625,3868254,15
2008,NM,472422,346832,7627,826881,5
2008,NV,533648,412700,21272,967620,5
2008,NY,4802774,2751845,78212,7632831,31
2008,OH,2940044,2683820,92680,5716544,20
2008,OK,502496,960165,0,1462661,7
2008,OR,1037291,738475,52098,1827864,7
2008,PA,3276363,2655885,62981,5995229,21
2008,RI,296571,165391,7805,469767,4
2008,SC,862449,1034896,23386,1920731,8
2008,SD,170924,203054,7997,381975,3
2008,TN,1087437,1479179,33133,2599749,11
2008,TX,3528633,4479328,56116,8064077,34
2008,UT,327670,596054,28662,952386,5
2008,VA,1959532,1725005,38723,3723260,13
2008,VT,219262,98974,6810,325046,3
2008,WA,1750644,1229086,56792,3036522,11
2008,WI,1677211,1262393,37292,2976896,10
2008,WV,304127,398061,12465,714653,5
2008,WY,82868,164958,6832,254658,3
2012,AK,122640,164676,13179,300495,3
2012,AL,795605,1255875,18704,2070184,9
2012,AR,394409,647744,27315,1069468,6
2012,AZ,1025232,1233654,39916,2298802,11
2012,CA,7854558,4839956,320782,13015296,55
2012,CO,1323102,1185243,61173,2569518,9
2012,CT,905105,634899,18067,1558071,7
2012,DC,267070,21381,5313,293764,3
2012,DE,242584,165484,5853,413921,3
2012,FL,4237757,4163446,72931,8474134,29
2012,GA,1773827,2078689,45323,3897839,16
2012,HI,306658,121015,7024,434697,4
2012,IA,822544,730617,21577,1574738,6
2012,ID,212787,420911,18576,652274,4
2012,IL,3019511,2135216,86451,5241178,20
2012,IN,1152888,1420542,50111,2623541,11
2012,KS,439908,689808,25399,1155115,6
2012,KY,679370,1087189,30274,1796833,8
2012,LA,809141,1152262,32662,1994065,8
2012,MA,1921762,1188460,50994,3161216,11
